Team,Seed,Player,MPG,PPG,RPG,APG,SPG,BPG
Duke,1,Cameron Boozer,32.5,22.6,10,4,1.6,0.6
Duke,1,Isaiah Evans,27.3,14.6,2.9,1.3,0.8,0.7
Duke,1,Patrick Ngongba,22.4,10.7,6,1.9,0.6,1.1
Duke,1,Caleb Foster,25.9,8.6,3.7,2.9,0.3,0.1
Duke,1,Cayden Boozer,20.4,6.4,1.9,2.8,0.8,0.1
Duke,1,Dame Sarr,21.5,6.1,3.7,1,1,0.3
Duke,1,Nikolas Khamenia,18.5,5.5,3.3,1.1,0.5,0
Duke,1,Maliq Brown,19.5,4.6,4.6,1.8,1.8,0.5
Duke,1,Darren Harris,10.1,4,0.8,0.5,0.4,0
Duke,1,Ifeanyi Ufochukwu,4.4,0.8,0.6,0,0,0.2
Duke,1,Cameron Sheffield,3.1,0.6,0.5,0.1,0,0
Duke,1,Jack Scott,3.1,0.6,0.9,0.2,0.2,0
Michigan,1,Yaxel Lendeborg,29.5,14.3,7.3,3.2,1.2,1.4
Michigan,1,Morez Johnson Jr.,24.7,13.5,7.4,1.1,0.8,1.1
Michigan,1,Aday Mara,22.7,11.5,6.9,2.4,0.3,2.6
Michigan,1,Elliot Cadeau,25.6,10.1,2.7,5.6,0.7,0.1
Michigan,1,Trey McKenney,21.1,9.5,2.5,0.8,0.4,0
Michigan,1,Nimari Burnett,19.2,8.3,2.2,1.3,0.6,0.1
Michigan,1,Roddy Gayle Jr.,20.2,7.1,3.2,1.4,0.8,0.3
Michigan,1,Will Tschetter,14.2,4.2,1.8,0.6,0.1,0.1
Michigan,1,Winters Grady,6,2.9,1.1,0.2,0.2,0
Michigan,1,Malick Kordel,5,1.4,1.8,0.2,0.1,0.3
Michigan,1,Oscar Goodman,6.4,1.4,1.5,0.5,0,0.1
Michigan,1,Charlie May,3.3,1,0.3,0.3,0.3,0
Michigan,1,Howard Eisley Jr.,1.4,0.6,0,0,0.2,0
Arizona,1,Brayden Burries,29.5,15.5,4.9,2.7,1.5,0.2
Arizona,1,Jaden Bradley,30.1,13.9,3.5,4.5,1.6,0
Arizona,1,Koa Peat,26.9,13.3,5.4,2.7,0.7,0.7
Arizona,1,Motiejus Krivas,25,10.8,8.2,1.1,0.7,1.8
Arizona,1,Ivan Kharchenkov,27.4,9.8,4.1,2.3,1.5,0.3
Arizona,1,Tobe Awaka,21.6,9.6,9.6,0.9,0.4,0.7
Arizona,1,Anthony Dell'Orso,21.8,9,2.1,2.1,1,0.2
Arizona,1,Dwayne Aristode,15.1,4.7,1.9,0.8,0.5,0.1
Arizona,1,Sidi Gueye,3.5,1.3,0.8,0.2,0.1,0.3
Arizona,1,Sven Djopmo,1.8,0.6,0.2,0.3,0.1,0
Arizona,1,Evan Nelson,3.8,0.5,0.5,0.3,0.1,0
Arizona,1,Jackson Francois,1.5,0.5,0.5,0,0,0
Arizona,1,Addison Arnold,2.2,0.4,0.5,0.2,0,0.1
Arizona,1,Jackson Cook,1.4,0,0.1,0,0,0
Connecticut,1,Solomon Ball,29.8,14.1,3.3,1.6,0.5,0.3
Connecticut,1,Tarris Reed Jr.,26,13.7,7.9,2.2,1,2.2
Connecticut,1,Alex Karaban,33.5,13.3,5.2,2.2,0.9,0.9
Connecticut,1,Braylon Mullins,26.7,12.1,3.4,1.3,1.1,0.6
Connecticut,1,Silas Demary Jr.,28.8,10.9,4.6,6.5,1.7,0.2
Connecticut,1,Eric Reibe,15.3,6.8,3.9,0.5,0.2,0.9
Connecticut,1,Jaylin Stewart,17.7,4.5,2.8,1.2,0.5,0.3
Connecticut,1,Jayden Ross,16,4.4,2.1,0.7,0.6,0.5
Connecticut,1,Malachi Smith,15.3,3.6,1.6,2.9,0.6,0.1
Connecticut,1,Dwayne Koroma,6.4,1.7,1.1,0.2,0.5,0.1
Connecticut,1,Alec Millender,3.8,0.7,0.3,0.5,0.2,0
Connecticut,1,Jacob Furphy,3.1,0.6,0,0,0.1,0
Connecticut,1,UroÅ¡ PaunoviÄ,1.2,0.2,0.1,0.1,0,0
Connecticut,1,Rrezon Elezaj,1,0,0.8,0,0,0.3
Florida,2,Thomas Haugh,33.2,17.1,6,2,1,1
Florida,2,Alex Condon,30.4,14.8,7.7,3.6,0.7,1.4
Florida,2,Xaivian Lee,27.1,11.7,3.7,4.1,1.2,0.1
Florida,2,Boogie Fland,29.6,11.5,2.6,3.4,1.9,0.1
Florida,2,Rueben Chinyelu,24.6,11.3,11.8,0.7,0.7,1.1
Florida,2,Urban Klavzar,21.4,10.2,1.5,1.3,0.4,0.1
Florida,2,Isaiah Brown,12.5,5.6,2.5,0.6,0.3,0.3
Florida,2,Micah Handlogten,15.1,4.3,6,0.7,0.5,0.9
Florida,2,CJ Ingram II,5.3,1.9,0.8,0.5,0.1,0.1
Florida,2,Cooper Josefsberg,1,1.5,1,0,0,0
Florida,2,Viktor Mikic,2.6,1.3,0.8,0.3,0,0.1
