Rank,Player,Team,Seed,Proj Games,MPG,PPG,RPG,APG,SPG,BPG,Raw Score/G,Proj Total,Tier
1,Cameron Boozer,Duke,1,5,33,22.5,10.2,4.2,1.5,0.5,38.9,194.5,Tier 1
2,Alex Condon,Florida,1,5,30.6,15,7.7,3.5,0.7,1.4,28.3,141.5,Tier 1
3,Thomas Haugh,Florida,1,5,33.5,17.1,6.2,2,1.1,1,27.4,137,Tier 1
4,Yaxel Lendeborg,Michigan,1,5,30.2,14.6,7,3.2,1.2,1.3,27.3,136.5,Tier 1
5,Joshua Jefferson,Iowa State,2,4.2,31.8,16.9,7.6,4.9,1.7,0.9,32,134.4,Tier 1
6,Rueben Chinyelu,Florida,1,5,24.8,11.2,11.5,0.7,0.8,1.1,25.3,126.5,Tier 1
7,Brayden Burries,Arizona,1,5,29.5,15.9,4.7,2.5,1.6,0.2,24.9,124.5,Tier 1
8,Braden Smith,Purdue,2,4.2,34.3,14,3.6,9.1,1.8,0.2,28.7,120.5,Tier 1
9,Aday Mara,Michigan,1,5,23.1,11.6,6.9,2.3,0.3,2.6,23.7,118.5,Tier 1
10,Morez Johnson Jr.,Michigan,1,5,25.1,13.1,7.2,1.1,0.7,1.1,23.2,116,Tier 1
11,Kingston Flemings,Houston,2,4.2,31.7,16.4,3.9,5.3,1.6,0.3,27.5,115.5,Tier 1
12,Jaden Bradley,Arizona,1,5,30.4,13.3,3.6,4.5,1.5,0.1,23,115,Tier 1
13,Koa Peat,Arizona,1,5,27.3,13.6,5.3,2.7,0.7,0.7,23,115,Tier 1
14,Tarris Reed Jr.,Connecticut,2,4.2,26.1,13.7,8.1,2.3,0.9,2.1,27.1,113.8,Tier 1
15,Graham Ike,Gonzaga,3,3.5,30.8,19.7,8.2,2.4,0.8,0.9,32,112,Tier 1
16,Motiejus Krivas,Arizona,1,5,25,10.5,8.1,1,0.7,1.8,22.1,110.5,Tier 1
17,Trey Kaufman-Renn,Purdue,2,4.2,27.9,13.6,8.5,2.6,0.4,0.2,25.3,106.3,Tier 1
18,Isaiah Evans,Duke,1,5,27.9,14.9,3.1,1.4,0.8,0.7,20.9,104.5,Tier 1
19,Tobe Awaka,Arizona,1,5,21.4,9.4,9.5,0.8,0.4,0.7,20.8,104,Tier 1
20,Xaivian Lee,Florida,1,5,27.5,11.5,3.8,4.2,1.2,0.1,20.8,104,Tier 1
21,Tamin Lipsey,Iowa State,2,4.2,31.5,13.3,4,5,2.2,0,24.5,102.9,Tier 1
22,Patrick Ngongba,Duke,1,5,22.4,10.7,6,1.9,0.6,1.1,20.3,101.5,Tier 1
23,Jeremy Fears Jr.,Michigan State,3,3.5,32.2,15.7,2.4,9.2,1.3,0,28.6,100.1,Tier 1
24,Keaton Wagler,Illinois,3,3.5,33.7,17.9,4.8,4.4,0.9,0.3,28.3,99,Tier 2
